Feature,Importance
ShapeFactor3,0.10878463914034599
Compactness,0.0873556345686369
Perimeter,0.08611164157006902
MinorAxisLength,0.08428964785037872
ShapeFactor1,0.08254588147582925
MajorAxisLength,0.08050827852961534
ConvexArea,0.0745055996792566
Eccentricity,0.06005221374213355
EquivDiameter,0.059747332113763575
Area,0.058404198825254786
AspectRation,0.05687145786860726
roundness,0.05582959012182288
ShapeFactor2,0.043307939797621584
ShapeFactor4,0.031888509389669625
Solidity,0.018911248065304684
Extent,0.010886187261690333
